Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Ziram;S20;1;100;2;7;20;15
Ziram;S20;1;100;3;7;20,5;15,5
Ziram;S8;1;100;1;7;20;15
Ziram;S8;1;100;2;7;22;17
Ziram;S8;1;100;3;7;20;15
Ziram;S23;1;50;1;7;25;20
Ziram;S23;1;50;2;7;35;30
Ziram;S23;1;50;3;7;25;20
Ziram;S20;1;50;1;7;25,5;20,5
Ziram;S20;1;50;2;7;26;21
Ziram;S20;1;50;3;7;25,5;20,5
Ziram;S8;1;50;1;7;24;19
Ziram;S8;1;50;2;7;24;19
Ziram;S8;1;50;3;7;24;19
Ziram;S23;1;10;1;7;25,5;20,5
Ziram;S23;1;10;2;7;26;21
Ziram;S23;1;10;3;7;28;23
Ziram;S20;1;10;1;7;27;22
Ziram;S20;1;10;2;7;27;22
Ziram;S20;1;10;3;7;27;22
Ziram;S8;1;10;1;7;24;19
Ziram;S8;1;10;2;7;25;20
Ziram;S8;1;10;3;7;26,5;21,5
Ziram;S23;1;1;1;7;43;38
Ziram;S23;1;1;2;7;42;37
Ziram;S23;1;1;3;7;42;37
Ziram;S20;1;1;1;7;43;38
Ziram;S20;1;1;2;7;44;39
Ziram;S20;1;1;3;7;44;39
Ziram;S8;1;1;1;7;32;27
Ziram;S8;1;1;2;7;33;28
Ziram;S8;1;1;3;7;31;26
Ziram;S23;1;0,5;1;7;45;40
Ziram;S23;1;0,5;2;7;48;43
Ziram;S23;1;0,5;3;7;49;44
Ziram;S20;1;0,5;1;7;48;43
Ziram;S20;1;0,5;2;7;45;40
Ziram;S20;1;0,5;3;7;47;42
Ziram;S8;1;0,5;1;7;42;37
Ziram;S8;1;0,5;2;7;40;35
Ziram;S8;1;0,5;3;7;40;35
Ziram;S23;1;0,1;1;7;59;54
Ziram;S23;1;0,1;2;7;58;53
Ziram;S23;1;0,1;3;7;58;53
Ziram;S20;1;0,1;1;7;54;49
Ziram;S20;1;0,1;2;7;56;51
Ziram;S20;1;0,1;3;7;56,5;51,5
Ziram;S8;1;0,1;1;7;46;41
Ziram;S8;1;0,1;2;7;45;40
Ziram;S8;1;0,1;3;7;50;45
Ziram;S23;2;0;1;7;57,9;52,9
Ziram;S23;2;0;2;7;60,2;55,2
Ziram;S23;2;0;3;7;60,7;55,7
Ziram;S20;2;0;1;7;56,8;51,8
Ziram;S20;2;0;2;7;57,9;52,9
Ziram;S20;2;0;3;7;57;52
Ziram;S8;2;0;1;7;54,9;49,9
Ziram;S8;2;0;2;7;55,2;50,2
Ziram;S8;2;0;3;7;56,7;51,7
Ziram;S23;2;100;1;7;19,8;14,8
Ziram;S23;2;100;2;7;19,9;14,9
Ziram;S23;2;100;3;7;19;14
Ziram;S20;2;100;1;7;19,9;14,9
Ziram;S20;2;100;2;7;19;14
Ziram;S20;2;100;3;7;18;13
Ziram;S8;2;100;1;7;19,8;14,8
Ziram;S8;2;100;2;7;21,9;16,9
Ziram;S8;2;100;3;7;20;15
Ziram;S23;2;50;1;7;24,9;19,9
Ziram;S23;2;50;2;7;26,2;21,2
Ziram;S23;2;50;3;7;24,7;19,7
Ziram;S20;2;50;1;7;25,3;20,3
Ziram;S20;2;50;2;7;25,9;20,9
Ziram;S20;2;50;3;7;24,5;19,5
Ziram;S8;2;50;1;7;23,9;18,9
Ziram;S8;2;50;2;7;24,2;19,2
Ziram;S8;2;50;3;7;23,7;18,7
Ziram;S23;2;10;1;7;25,3;20,3
Ziram;S23;2;10;2;7;25,9;20,9
Ziram;S23;2;10;3;7;28;23
Ziram;S20;2;10;1;7;25;20
Ziram;S20;2;10;2;7;25;20
Ziram;S20;2;10;3;7;26;21
Ziram;S8;2;10;1;7;23,8;18,8
Ziram;S8;2;10;2;7;24,9;19,9
Ziram;S8;2;10;3;7;26,5;21,5
Ziram;S23;2;1;1;7;42,9;37,9
Ziram;S23;2;1;2;7;42,2;37,2
Ziram;S23;2;1;3;7;41,7;36,7
Ziram;S20;2;1;1;7;42,8;37,8
Ziram;S20;2;1;2;7;43;38
Ziram;S20;2;1;3;7;45,5;40,5
Ziram;S8;2;1;1;7;29,9;24,9
Ziram;S8;2;1;2;7;31,2;26,2
